Latitude,Lat Temp Mod,Diurnal Temp Range
34.196,-8.51,13.67
36.237,-11.97,13.87
36.575,-12.49,13.90
36.851,-12.91,13.93
37.143,-13.34,13.95
37.419,-13.74,13.98
37.672,-14.11,14.00
37.990,-14.56,14.03
39.789,-16.98,14.18
40.127,-17.41,14.21
40.449,-17.82,14.24
40.733,-18.17,14.26
41.024,-18.53,14.28
41.331,-18.90,14.31
41.930,-19.61,14.35
43.249,-21.11,14.45
43.801,-21.72,14.49
44.146,-22.09,14.51
45.351,-23.36,14.59
45.903,-23.92,14.63
46.286,-24.30,14.65
47.061,-25.04,14.69
47.812,-25.73,14.73
49.005,-26.76,14.78
49.937,-27.51,14.82
51.800,-28.91,14.87
52.306,-29.27,14.88
54.070,-30.43,14.90
54.415,-30.64,14.90
54.760,-30.85,14.90
55.710,-31.40,14.88
57.520,-32.36,14.73
57.949,-32.44,14.67
58.417,-32.61,14.60
58.861,-32.77,14.53
59.797,-33.08,14.35
61.127,-33.48,14.05
61.947,-33.71,13.85
62.468,-33.86,13.72
63.089,-34.04,13.55
63.606,-34.19,13.41
65.293,-34.72,12.93
68.155,-35.92,12.12
69.527,-36.69,11.69
71.696,-38.21,10.84
72.769,-39.05,10.34
73.535,-39.67,9.96
75.052,-40.93,9.14
76.217,-41.93,8.45
79.738,-44.90,6.74
81.810,-46.50,6.05
83.737,-47.80,5.58
84.285,-48.13,5.47
86.226,-49.11,5.19
87.099,-49.45,5.11
87.960,-49.71,5.05
88.694,-49.87,5.02
89.087,-49.93,5.01
89.239,-49.95,5.01
89.401,-49.96,5.00
89.559,-49.98,5.00
89.727,-49.99,5.00
89.832,-49.99,5.00
89.893,-50.00,5.00
89.837,-49.99,5.00
89.732,-49.99,5.00
,,
89.062,-49.92,5.01
89.183,-49.94,5.01
89.274,-49.95,5.01
89.365,-49.96,5.00
89.463,-49.97,5.00
89.553,-49.98,5.00
89.634,-49.98,5.00
89.721,-49.99,5.00
89.802,-49.99,5.00
89.875,-50.00,5.00
89.886,-50.00,5.00
89.824,-49.99,5.00
89.738,-49.99,5.00
89.659,-49.98,5.00
89.585,-49.98,5.00
89.503,-49.97,5.00
89.421,-49.97,5.00
89.345,-49.96,5.01
89.262,-49.95,5.01
